"alpha"	"CF_Gamma"	"Hydro_Gamma"
"1.08976566218936365970648694201372563839`16."	"7.248324709450435739697299704916711993636842272`26.*^-13"	4.2758354594255054e-15
"1.09237079869037101431672454054933041334`16."	"7.521229923840479923321109501591851915930991149`26.*^-13"	4.293316839472153e-15
"1.09497593519137836892696213908493518829`16."	"7.803545423217720602371436930986121390989851884`26.*^-13"	4.3097583541323385e-15
"1.09758107169238550149259481258923187852`16."	"8.095385278533420874549506066164806391689512031`26.*^-13"	4.325141805144636e-15
"1.10018620819339263405822748609352856874`16."	"8.397090489300048172997278190465829273872484428`26.*^-13"	4.3394488443170075e-15
"1.1027913446943999886684650846291333437`16."	"8.709089677677932710639266332172649846106788108`26.*^-13"	4.352660893290623e-15
"1.10539648119540734327870268316473811865`16."	"9.031628111975195237493577770903969705366477263`26.*^-13"	4.364759052959688e-15
"1.10800161769641447584433535666903480887`16."	"9.365166024523077339527759781131628763276842005`26.*^-13"	4.3757240015618595e-15
"1.1106067541974216084099680301733314991`16."	"9.709703508677329555578250964805930884512899988`26.*^-13"	4.385535880358764e-15
"1.11321189069842896302020562870893627405`16."	"1.0065769404053571558246460525006746269772838206`26.*^-12"	4.394174165722262e-15
"1.115817027199436317630443227244541049`16."	"1.0433576201669775618742201538503257882613971342`26.*^-12"	4.40161752632753e-15
"1.11842216370044367224068082578014582396`16."	"1.0813652811562054743762904818261164243346865185`27.*^-12"	4.407843664029274e-15
"1.12102730020145080480631349928444251418`16."	"1.1206040489759704583573119255813151642778752725`27.*^-12"	4.412829136859697e-15
"1.12363243670245793737194617278873920441`16."	"1.161127392473970115825572111638154977507228902`27.*^-12"	4.416549162436719e-15
"1.12623757320346529198218377132434397936`16."	"1.202969298399181373374687261837532344196875784`27.*^-12"	4.418977399906171e-15
"1.12884270970447264659242136985994875431`16."	"1.2461677897463231639938853412620743596517825815`27.*^-12"	4.420085708361026e-15
"1.13144784620547977915805404336424544454`16."	"1.2907459765341897117793571720854320681018351116`27.*^-12"	4.419843879483643e-15
"1.13405298270648691172368671686854213476`16."	"1.3367396509698333333320985176172086739010531947`27.*^-12"	4.4182193419403655e-15
"1.13665811920749426633392431540414690971`16."	"1.3842113234928439059035117701658039867379304683`27.*^-12"	4.415176834821606e-15
"1.13926325570850162094416191393975168467`16."	"1.4331581921739770138716854272925889632923743418`27.*^-12"	4.41067804716186e-15
"1.14186839220950875350979458744404837489`16."	"1.4836535278056894679713483526618944936920171821`27.*^-12"	4.4046812202910575e-15
"1.14447352871051588607542726094834506512`16."	"1.5356903150406140992891168625525586255459321172`27.*^-12"	4.397140709459667e-15
"1.14707866521152324068566485948394984007`16."	"1.5893404376602082940346591235217935772727839863`27.*^-12"	4.388006500842025e-15
"1.14968380171253059529590245801955461502`16."	"1.6446055082486246693746420027583525329647254755`27.*^-12"	4.377223679653245e-15
"1.15228893821353794990614005655515938997`16."	"1.7015528402915571848959268145900884609173713345`27.*^-12"	4.36473184471196e-15
"1.1548940747145450824717727300594560802`16."	"1.760190408139345110087591866173626337282589072`27.*^-12"	4.350464464341008e-15
"1.15749921121555221503740540356375277042`16."	"1.8205471783248574642994933051203473742467898582`27.*^-12"	4.3343481680177285e-15
"1.16010434771655956964764300209935754538`16."	"1.8826609727736058673721002132229896333164812186`27.*^-12"	4.3163019676613595e-15
"1.16270948421756692425788060063496232033`16."	"1.9465625662915819733764777402232505420099757006`27.*^-12"	4.2962364018730465e-15
"1.16531462071857405682351327413925901055`16."	"2.0122571332957088507765196129299225865987420385`27.*^-12"	4.274052595820243e-15
"1.16791975721958118938914594764355570078`16."	"2.0797828681255549842364375139559923662860847277`27.*^-12"	4.2496412287773e-15
"1.17052489372058854399938354617916047573`16."	"2.1491418096338470347712558130763036926580783354`27.*^-12"	4.222881400592792e-15
"1.17313003022159589860962114471476525068`16."	"2.220348665725761275672815355956293129821272571`27.*^-12"	4.193639387546186e-15
"1.17573516672260303117525381821906194091`16."	"2.2934135037548951626487333940088665448901164415`27.*^-12"	4.1617672771767476e-15
"1.17834030322361016374088649172335863113`16."	"2.3683199294661532298046765764435131262047859688`27.*^-12"	4.127101470708847e-15
"1.18094543972461751835112409025896340609`16."	"2.4450614967128555429778965037075157992167578669`27.*^-12"	4.089461040654414e-15
"1.18355057622562487296136168879456818104`16."	"2.5236386999254682262195551682098622169200602478`27.*^-12"	4.0486459300373486e-15
"1.18615571272663222757159928733017295599`16."	"2.6039932217533065387739336332007319849443575055`27.*^-12"	4.0044349784480915e-15
"1.18876084922763958218183688586577773094`16."	"2.6861044922331296131930815307802581072645263381`27.*^-12"	3.956583758791928e-15
"1.19136598572864671474746955937007442117`16."	"2.7699091711487001106721422216431970675370790958`27.*^-12"	3.904822207131157e-15
"1.19397112222965384731310223287437111139`16."	"2.855333356051655066067398504461238090414309622`27.*^-12"	3.848852026430538e-15
"1.19657625873066120192333983140997588634`16."	"2.9422910115517430776920951162808923862434617624`27.*^-12"	3.788343843285768e-15
"1.1991813952316685565335774299455806613`16."	"3.0306727539140141649469027673648045047027697136`27.*^-12"	3.722934094834745e-15
"1.20178653173267568909921010344987735152`16."	"3.1203229272599553202896364284416222360289757467`27.*^-12"	3.652221621008826e-15
"1.20439166823368282166484277695417404175`16."	"3.2111224735685911056355051317456576008080375676`27.*^-12"	3.575763935062181e-15
"1.2069968047346901762750803754897788167`16."	"3.3028183434647296693564451328465297382271420608`27.*^-12"	3.49307314290734e-15
"1.20960194123569753088531797402538359165`16."	"3.395222992430098252944276877894667243150706518`27.*^-12"	3.4036114791683764e-15
"1.21220707773670466345095064752968028188`16."	"3.4880434706407562874037247122521757941377944053`27.*^-12"	3.306786425022446e-15
"1.2148122142377117960165833210339769721`16."	"3.5809461436818576070767516464190153286657156322`27.*^-12"	3.2019453698179076e-15
