"alpha"	"CF_Gamma"	"Hydro_Gamma"
"2.22775919732441485265894698386546224356`16."	"3.33403042829217601644299915540995454609648649063`29.*^-11"	9.96242931899049e-18
"2.23478260869565215074317165999673306942`16."	"3.46545993280060378653011413472687229374673332838`29.*^-11"	1.244454504553209e-17
"2.24180602006688989291660618619062006474`16."	"3.60083919453925426632858588276014881933183414536`29.*^-11"	1.558019225694607e-17
"2.2488294314381271910008308623218908906`16."	"3.74025898190658390240978121692026961531071376058`29.*^-11"	1.9506013775952887e-17
"2.25585284280936448908505553845316171646`16."	"3.88377383398209309724438357619927474427775103888`29.*^-11"	2.4372397653143027e-17
"2.26287625418060223125849006464704871178`16."	"4.0314237190647409090936242214000188179727566596`29.*^-11"	3.033576311419249e-17
"2.26989966555183952934271474077831953764`16."	"4.1832690127760766518826773975007998308906814414`29.*^-11"	3.754420493723067e-17
"2.2769230769230768274269394169095903635`16."	"4.33933869914428231701993206494783635537690807124`29.*^-11"	4.611312174730436e-17
"2.28394648829431456960037394310347735882`16."	"4.49970723312650282086224090825623071566690313091`29.*^-11"	5.608607824818599e-17
"2.29096989966555186768459861923474818468`16."	"4.66441498341628503399489451519612261789022919557`30.*^-11"	6.737429253149093e-17
"2.29799331103678916576882329536601901054`16."	"4.83346458523455713798609832815765911784558095093`30.*^-11"	7.966564735372699e-17
"2.30501672240802690794225782155990600586`16."	"5.00691977352159674221500036958584443131469311054`30.*^-11"	9.229080728920216e-17
"2.31204013377926420602648249769117683172`16."	"5.18475941828439212618027282542188109578569141473`30.*^-11"	1.0402963897419229e-16
"2.31906354515050150411070717382244765759`16."	"5.3670163213851762575678458328306777913492042548`30.*^-11"	1.128353722217944e-16
"2.3260869565217392462841417000163346529`16."	"5.55367745859272419118683428814372601828742085372`30.*^-11"	1.154464193890303e-16
"2.33311036789297654436836637614760547876`16."	"5.74467478541790085122323089067083106353369791264`30.*^-11"	1.0684600528940918e-16
